Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      181     0.00     0.00  std::tuple_element<0ul, std::tuple<std::filesystem::__cxx11::path::_List::_Impl*, std::filesystem::__cxx11::path::_List::_Impl_deleter> >::type& std::get<0ul, std::filesystem::__cxx11::path::_List::_Impl*, std::filesystem::__cxx11::path::_List::_Impl_deleter>(std::tuple<std::filesystem::__cxx11::path::_List::_Impl*, std::filesystem::__cxx11::path::_List::_Impl_deleter>&)
  0.00      0.00     0.00      181     0.00     0.00  std::tuple_element<1ul, std::tuple<std::filesystem::__cxx11::path::_List::_Impl*, std::filesystem::__cxx11::path::_List::_Impl_deleter> >::type& std::get<1ul, std::filesystem::__cxx11::path::_List::_Impl*, std::filesystem::__cxx11::path::_List::_Impl_deleter>(std::tuple<std::filesystem::__cxx11::path::_List::_Impl*, std::filesystem::__cxx11::path::_List::_Impl_deleter>&)
  0.00      0.00     0.00      181     0.00     0.00  std::remove_reference<std::filesystem::__cxx11::path::_List::_Impl*&>::type&& std::move<std::filesystem::__cxx11::path::_List::_Impl*&>(std::filesystem::__cxx11::path::_List::_Impl*&)
  0.00      0.00     0.00      179     0.00     0.00  std::less<std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>*>::operator()(std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>*, std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>*) const
  0.00      0.00     0.00      178     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::_M_less(std::__shared_count<(__gnu_cxx::_Lock_policy)2> const&) const
  0.00      0.00     0.00      176     0.00     0.00  std::__new_allocator<char>::~__new_allocator()
  0.00      0.00     0.00      173     0.00     0.00  std::filesystem::file_status::type() const
  0.00      0.00     0.00      169     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&& std::forward<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::type&)
  0.00      0.00     0.00      168     0.00     0.00  bool std::__shared_ptr<std::filesystem::__cxx11::_Dir, (__gnu_cxx::_Lock_policy)2>::owner_before<std::filesystem::__cxx11::_Dir>(std::__shared_ptr<std::filesystem::__cxx11::_Dir, (__gnu_cxx::_Lock_policy)2> const&) const
  0.00      0.00     0.00      160     0.00     0.00  std::filesystem::__cxx11::operator==(std::filesystem::__cxx11::directory_iterator const&, std::filesystem::__cxx11::directory_iterator const&)
  0.00      0.00     0.00      160     0.00     0.00  std::filesystem::__cxx11::operator!=(std::filesystem::__cxx11::directory_iterator const&, std::filesystem::__cxx11::directory_iterator const&)
  0.00      0.00     0.00      158     0.00     0.00  std::filesystem::is_directory(std::filesystem::__cxx11::path const&)
  0.00      0.00     0.00      157     0.00     0.00  std::filesystem::is_directory(std::filesystem::file_status)
  0.00      0.00     0.00      151     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::filesystem::__cxx11::path::string<char, std::char_traits<char>, std::allocator<char> >(std::allocator<char> const&) const
  0.00      0.00     0.00      151     0.00     0.00  std::filesystem::__cxx11::path::path(std::filesystem::__cxx11::path const&)
  0.00      0.00     0.00      146     0.00     0.00  std::filesystem::__cxx11::path::end() const
  0.00      0.00     0.00      146     0.00     0.00  std::filesystem::__cxx11::path::empty() const
  0.00      0.00     0.00      146     0.00     0.00  std::filesystem::__cxx11::path::filename() const
  0.00      0.00     0.00      146     0.00     0.00  std::filesystem::__cxx11::path::iterator::operator->() const
  0.00      0.00     0.00      146     0.00     0.00  std::filesystem::__cxx11::path::iterator::iterator(std::filesystem::__cxx11::path const*, std::filesystem::__cxx11::path::_Cmpt const*)
  0.00      0.00     0.00      146     0.00     0.00  std::filesystem::__cxx11::path::iterator::operator--()
  0.00      0.00     0.00      146     0.00     0.00  std::basic_ostream<char, std::char_traits<char> >& std::filesystem::__cxx11::operator<< <char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, std::filesystem::__cxx11::path const&)
  0.00      0.00     0.00      146     0.00     0.00  std::__detail::_Quoted_string<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char>::_Quoted_string(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char, char)
  0.00      0.00     0.00      146     0.00     0.00  std::basic_ostream<char, std::char_traits<char> >& std::__detail::operator<< <char, std::char_traits<char>, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>(std::basic_ostream<char, std::char_traits<char> >&, std::__detail::_Quoted_string<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char> const&)
  0.00      0.00     0.00      146     0.00     0.00  std::filesystem::__cxx11::path const* std::__addressof<std::filesystem::__cxx11::path const>(std::filesystem::__cxx11::path const&)
  0.00      0.00     0.00      146     0.00     0.00  auto std::quoted<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char, char)
  0.00      0.00     0.00      115     0.00     0.00  RmCommand*&& std::forward<RmCommand*>(std::remove_reference<RmCommand*>::type&)
